State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Riverhead Senior High School",1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,0,4,0,0,0,0,2,5,8,1,82
"Roanoke Avenue School",324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Frank J Carasiti Elementary School",835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joseph A Edgar Imtermediate School",821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Rocky Point High School",1090,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,8,0,15,0,24,0,0,0,11,0,3,2,0,0,0,0,3,4,4,231
"Rocky Point Middle School",816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,20,0,16,0,0,0,2,0,2,1,0,0,0,0,0,0,0,114
"Cayuga School",644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chippewa Elementary School",575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gatelot Avenue School",556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grundy Avenue School",529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hiawatha School",550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Lynwood Avenue School",539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merrimac School",525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nokomis School",550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sachem High School East",2575,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,37,0,42,0,25,0,0,0,1,0,7,0,1,0,0,1,5,27,1,737
"Sachem High School North",2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,27,0,5,0,0,0,13,0,4,0,0,0,0,0,1,13,2,172
"Sagamore Middle School",886,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,18,0,0,0,2,0,0,0,0,0,0,0,2,4,0,18
"Samoset Middle School",854,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,31,0,17,0,0,0,1,0,2,1,0,0,0,0,1,0,1,42
"Seneca Middle School",838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,11,0,0,0,1,0,11,0,0,0,0,0,1,1,0,33
"Sequoya Middle School",980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,9,0,38,0,11,0,0,0,2,0,3,0,0,0,0,0,2,0,1,69
"Tamarac Elementary School",669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tecumseh Elementary School",526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waverly Avenue School",654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wenonah School",576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pierson High School",486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4
"Sag Harbor Elementary School",398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sagaponack School",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cherry Avenue Elementary School",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincoln Avenue Elementary School",530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sayville High School",1139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,21,0,0,0,1,0,0,0,0,0,0,0,2,4,2,55
"Sayville Middle School",866,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50
"Sunrise Drive Elementary School",548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shelter Island School",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"Albert G Prodell Middle School",692,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,9,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,6
"Briarcliff School",311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miller Avenue School",462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Shoreham-Wading River High School",856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,5,0,0,0,9,0,0,0,0,0,0,0,0,3,18,16
"Wading River School",443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accompsett Elementary School",868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Accompsett Middle School",762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,5
"Branch Brook Elementary School",470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dogwood Elementary School",528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Great Hollow Middle School",988,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19
"Mills Pond Elementary School",520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mount Pleasant Elementary School",576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesaquake Middle School",854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,14
"Nesconset Elementary School",333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saint James Elementary School",549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smithtown Elementary School",652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Smithtown High School East",1616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,1,2,4,0,47
"Smithtown High School-West",1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,7,52
"Tackan Elementary School",601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellport Middle School",980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,79,0,54,0,0,0,0,0,3,0,0,0,0,0,6,0,0,395
"Bellport Senior High School",1370,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,82,0,29,0,0,0,5,0,0,0,0,0,0,0,7,4,5,293
"Brookhaven Elementary School",750,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"Frank P Long Intermediate School",710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Kreamer Street Elementary School",388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
"Verne W Critz Elementary School",399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Birchwood Intermediate School",631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Countrywood Primary Center",688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Henry L Stimson Middle School",1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,1,0,2,0,0,0,0,3,0,10
"Maplewood Intermediate School",700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Oakwood Primary Center",733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walt Whitman High School",1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,2,0,0,0,0,0,15,7,2,16
"Southampton Elementary School",569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southampton Intermediate School",458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,6
"Southampton Senior High School",642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,6,0,0,0,2,0,3,0,0,0,0,0,0,1,1,49
"Southold Elementary School",475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southold Junior-Senior High School",536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,4,0,3,0,0,0,0,0,3,1,2,4
"Springs School",580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,8
"Arrowhead Elementary School",857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minnesauke Elementary School",840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Nassakeag Elementary School",800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14
"Paul J Gelinas Junior High School",938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,5,0,0,0,1,0,4,0,0,0,0,0,1,2,0,14
"Robert Cushman Murphy Junior High School",895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,11,0,0,0,2,0,2,0,1,0,0,0,2,2,0,1
"Setauket Elementary School",844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ward Melville Senior High School",1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,28,0,11,0,0,0,4,0,1,0,1,0,0,1,0,18,5,215
"William Sidney Mount School",861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Tuckahoe School",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wainscott School",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forest Avenue School",376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"John F Kennedy School",487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"Santapogue School",406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"South Bay School",378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,7
"Tooker Avenue School",388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"West Babylon Junior High School",1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,24,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,55
"West Babylon Senior High School",1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9,0,4,0,0,0,0,0,3,0,0,0,0,0,4,2,5,3
"Bayview Elementary School",369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beach Street Middle School",678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,0,8
"Captree Elementary School",393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Manetuck Elementary School",514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oquenock Elementary School",315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paul J Bellew Elementary School",429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Udall Road Middle School",762,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,6,1,11,0,0,0,3,0,1,0,0,0,0,0,0,0,0,16
"West Islip Senior High School",1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,24,1,35,0,1,0,4,0,11,0,1,0,0,0,3,6,1,12
"Westbrook Elementary School",410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Westhampton Beach Elementary School",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Westhampton Beach Senior High School",921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,8,61
"Westhampton Middle School",437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5
"John S Hobart Elementary School",856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Moriches Elementary School",907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
"Nathaniel Woodhull Elementary School",810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9
"Tangier Smith Elementary School",827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"William Floyd Elementary School",794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"William Floyd High School",3316,0,0,0,0,0,5,0,0,0,0,0,0,0,1,13,1,3,0,105,0,12,0,0,0,1,0,20,0,0,0,1,0,20,16,4,19
"William Floyd Middle School",1198,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,2,0,104,0,24,0,0,0,1,0,2,0,0,0,0,0,4,2,0,66
"William Paca Middle School",1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,35,0,21,0,0,0,0,0,2,0,0,0,0,0,7,2,1,15
"La Francis Hardiman Elementary School",595,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Martin Luther King Elementary School",451,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,3,0,38,2,14,0,0,0,4,0,4,0,0,0,0,0,7,0,0,53
"Milton L Olive Middle School",406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,0,13,0,0,0,0,0,1,0,0,0,0,0,3,0,0,26
"Wyandanch Memorial High School",514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,8
"Eldred Junior-Senior High School",365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"George Ross Mackenzie Elementary School",321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
"Benjamin Cosor Elementary School",801,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101
"Fallsburg Junior Senior High School",690,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,4,0,70,0,20,0,0,0,6,0,0,0,0,0,0,0,1,3,10,394
"Liberty Elementary School",617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,4,0,0,0,0,0,2,0,0,7
"Liberty High School",556,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,8,1,10,0,0,0,5,0,0,0,0,0,0,0,3,0,1,29
"Liberty Middle School",495,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,14
"Livingston Manor Elementary School",313,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,12,1,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Livingston Manor High School",277,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,28,0,27,0,0,0,2,0,4,0,0,0,0,1,0,0,4,0
"Cornelius Duggan School",221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Emma C Chase School",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"George L Cooke School",535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Kenneth L Rutherford School",518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"Monticello High School",1094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,76,0,22,0,0,0,0,0,10,1,2,0,0,0,7,3,2,238
"Robert J Kaiser Middle School",810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,152,0,38,0,0,0,9,0,4,0,0,0,0,0,5,0,0,528
"Roscoe Central School",282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3
"Sullivan West Elementary School",701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,17
"Sullivan West High School At Lake Huntington",730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,13,0,0,0,3,0,0,0,0,0,0,0,2,3,4,32
"Tri-Valley Elementary School",425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tri-Valley High School",398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Tri-Valley Middle School",384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43
"Candor Elementary School",435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
"Candor Junior-Senior High School",474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,20,0,0,0,2,0,0,0,0,0,0,0,2,4,0,50
"Nathan T Hall School",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Newark Valley Middle School",382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,43
"Newark Valley Senior High School",575,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,0,3,0,0,1,0,0,0,0,1,2,2,115
"Apalachin Elementary School",431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Owego Elementary School",541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
"Owego Free Academy",778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"Owego-Apalachin Middle School",524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0
"Spencer-Van Etten Elementary School",395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Spencer-Van Etten High School",337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,2,89
"Spencer-Van Etten Middle School",345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,24,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,58
"Nichols Elementary School",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tioga Elementary School",317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tioga Middle School",347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23
"Tioga Senior High School",382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,26
"Chemung Elementary School",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elm Street Elementary School",452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Lincoln Street Elementary School",334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Waverly High School",560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,24,0,20,0,0,0,0,0,1,0,0,0,0,0,3,8,0,50
"Waverly Middle School",273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,21,0,11,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17
"Cassavant Elementary School",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Dryden Elementary School",621,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,1,0,22,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2
